Name	Set	ImageFile	Cost_Influence	Type	SubType	Diplomacy	Intrigue	Psi	Leadership	Military	Marks	Rarity	Fixeds	Collector	Text
Affirmation of Power	Deluxe	03-006	  	Conflict	Diplomacy	  	  	  	  	  		Fixed		03-006 F1	If successful, you and Babylon 5 each gain 1 influence.  If the conflict succeeds by 10 or more, you and Babylon 5 each gains an additional influence.  If the conflict fails, you and Babylon 5 each lose 1 influence.
Alliance	Deluxe	03-007	  	Conflict	Diplomacy	  	  	  	  	  		Common		03-007 C2	Target another race with whom you have a mutual tension of 1 and no Alliance.   If successful, there is a state of Alliance between your two races.  You each gain +1 influence for each 5 influence your ally has. If your two races ever go to war, the state of Alliance ends and you each lose 1 influence for each 5 influence your ally has.
Approval of the Grey	Deluxe	03-008	  	Aftermath	Minbari Won	  	  	  	  	  		Fixed		03-008 F1	Target one of your supporting characters who is a Grey Council member. Promote that character to the Inner Circle.
Armed Resistance	Deluxe	03-009	4	Enhancement	Location	  	  	  	  	  		Uncommon		03-009 U2	Target a location you played which was conquered.  The unrest level of the current controller of the location increases by 1.  You may initiate an extra Intrigue conflict each turn.  If you win this conflict by 10 or more, you reconquer the location and this enhancement is discarded.
Armistice	Deluxe	03-010	  	Event		  	  	  	  	  		Common		03-010 C2	Rotate your ambassador.  If the mutual tensions of two races at war are each below 4, the war ends during the draw round.
As It Was Meant To Be	Deluxe	03-011	  	Agenda	Major	  	  	  	  	  	Destiny	Rare 1		03-011 R1	If the top card on your discard pile is a character, enhancement, group or fleet you may purge a Destiny Mark as an action to put that card into your hand.  Your ambassador gains a Destiny mark each time you initiate and win a conflict.  Count each character you control with a Destiny Mark as 1 power.
Assault Troops	Deluxe	03-013	4	Enhancement	Faction	  	  	  	  	  		Uncommon		03-013 U2	For every influence the target player applies, he may apply +2 Military support to a Military conflict targeting a location.
Attacking Pawns	Deluxe	03-014	  	Conflict	Intrigue	  	  	  	  	  	Doom	Common		03-014 C2	Your ambassador gains a Doom Mark.  Target another player's supporting character. If you succeed by 5 or more, discard the target character. If you succeed by 10 or more, gain +1 influence.
Avert Incident	Deluxe	03-015	4	Event		  	  	  	  	  		Common		03-015 C2	Tension levels toward your race cannot increase for the rest of the turn.
Babylon 5 Unrest	Deluxe	03-016	6	Enhancement	Babylon 5	  	  	  	  	  		Rare 3		03-016 R3	Babylon 5 loses 1 influence each turn during the draw round.  Any player may initiate a Diplomacy conflict with 5 automatic opposition; if this conflict is successful, discard this enhancement.
Backroom Dealing	Deluxe	03-017	7	Enhancement	Character	  	  	  	  	  		Uncommon		03-017 U2	Target your ambassador.  During a vote, you may alter one abstain vote cast by an ambassador beside the Vorlons (whether actively played or not) to a yes or no.  Apply any amount of influence when you do this. Any player may apply 1 more influence than you applied to return the vote to abstain.
Balance	Deluxe	03-018	  	Event		  	  	  	  	  		Fixed		03-018 F1	No player may apply more influence during this turn than the current influence rating of the least influential player.
Battle Tested	Deluxe	03-019	  	Aftermath	Military Participant	  	  	  	  	  		Uncommon		03-019 U2	Target a character who led a participating fleet. Increase the target's Leadership by 1.  If the target's fleet supported a Lost conflict or opposed a won conflict, the total damage he can sustain drops by 2.
Bester	Deluxe	03-020	12	Character	Human	  	5	12	  	  		Rare 2		03-020 R2	Psi Cop. You must draw 2 free cards (instead of 1) per turn while you control Bester.  Bester cannot become an Inner Circle character.
Bio-Weapon Discovery	Deluxe	03-021	  	Conflict	Intrigue	  	  	  	  	  		Rare 2		03-021 R2	Target one fleet you control.  If you win by 5 or more, this conflict becomes a fleet enhancement for that fleet.  During each ready round, place a bio-weapon token on the fleet.  The target fleet gains +1 Military for each bio-weapon token to a maximum of +5.  If you lose by 5 or more, discard one supporting or non-ambassador Inner Circle character.
Black Market	Deluxe	03-022	  	Conflict	Intrigue	  	  	  	  	  	Doom	Uncommon		03-022 U2	Your ambassador gains a Doom Mark.  If successful, this card becomes a faction enhancement which reduces the cost for you to play or sponsor any card by 1 for each Inner Circle character you rotate when playing the card.
Blockade	Deluxe	03-023	  	Conflict	Military	  	  	  	  	  		Rare 2		03-023 R2	Target one race with whom you have a tension of 4 or 5.  If successful, reduce the influence rating of all factions of the target race to the level at which they began the turn  (to a minimum of 10).  Those factions cannot gain any more influence this turn, and this conflict is returned to you hand.
Blood Oath	Deluxe	03-024	  	Aftermath	Lost	  	  	  	  	  	Strife	Uncommon		03-024 U2	Target a participant character, and choose a player whose character opposed the conflict.  The target participant character gains a Strife Mark when attacking characters controlled by that player.
Border Raid	Deluxe	03-025	  	Conflict	Military	  	  	  	  	  		Fixed		03-025 F2	Target another faction.  Only the following cards can participate in this conflict: One fleet from you and your target, and leaders for those fleets.  If this conflict is uncontested, the target loses 1 influence.  If you win by 5 or more, gain +1 influence.  Tensions between your races increase by 1.
Campaign for Support	Deluxe	03-026	  	Conflict	Diplomacy	  	  	  	  	  		Common		03-026 C2	Any player may be supported in this conflict.  Whichever player generates the highest total gains an influence bonus on his next turn equal to the amount by which he exceeded the next highest total. This influence may only be applied to sponsor a new character, and it does not count towards power.
Carpe Diem	Deluxe	03-027	5	Event		  	  	  	  	  		Rare 2		03-027 R2	Each player may only play Carpe Diem once per game.   Select an event in your discard pile.  Show that card to your opponents.  Put that event in your hand.
Casualty Reports	Deluxe	03-028	  	Aftermath	Military Participant	  	  	  	  	  		Rare 2		03-028 R2	Each player with a participant supporting character who led a fleet in the conflict must discard one of those characters. (Discard this aftermath after play.)
Catherine Sakai	Deluxe	03-029	5	Character	Neutral	1	  	  	  	  		Uncommon		03-029 U2	Rotate Catherine Sakai and apply 5 influence.  Go through your deck until you find the first location.  Put the location in your hand and shuffle your deck.
Censure	Deluxe	03-030	1	Enhancement	Fleet	  	  	  	  	  		Uncommon		03-030 U2	Rotate your ambassador and select a target fleet. Call a Babylon 5 vote.  If the vote passes, Babylon 5 gains +1 influence and the target fleet loses Military equal to half Babylon 5's influence, rounded up, to a minimum ability of 1.
Centauri Agent	Deluxe	03-031	4	Character	Centauri	  	3	  	  	  		Fixed		03-031 F1	Multiple.
Centauri Aide	Deluxe	03-032	3	Character	Centauri	2	  	  	  	  		Fixed		03-032 F1	Multiple.
Centauri Captain	Deluxe	03-033	3	Character	Centauri	  	  	  	2	  		Fixed		03-033 F1	Multiple.
Centauri Telepath	Deluxe	03-034	7	Character	Centauri	  	1	5	  	  		Common		03-034 C2	Rotate Centauri Telepath to look at 3 random cards from one player's hand.  You may place one of these cards on the top of his deck.
Change of Plans	Deluxe	03-035	  	Event		  	  	  	  	  		Common		03-035 C2	Target all of your characters who are currently participants in the one conflict.  Apply 2 influence per targeted character.  Ready the targeted characters.  The support or opposition of those characters no longer applies to the conflict.  They cannot participate in the same conflict again.
Changing Opinion	Deluxe	03-036	1	Event		  	  	  	  	  		Common		03-036 C2	Move one of your own tension levels up or down 1.
Chaos Reigns	Deluxe	03-037	1	Event		  	  	  	  	  		Common		03-037 C2	Requires 2 Shadow Marks to play.  Shuffle your hand into your deck.  Draw a new hand of cards, equal in size to the number of Shadow Marks you have.  All other players with Shadow Marks may do the same.
Chrysalis	Deluxe	03-038	  	Event	Minbari	  	  	  	  	  		Uncommon		03-038 U2	Requires 2 Vorlon Marks and the Triluminary.  Rotate Delenn. Replace Delenn with Delenn transformed from your hand, and transfer her aftermaths and enhancements.  Your unrest increases by 2.  Neutralize Delenn transformed.
Colonial Fleet (Centauri)	Deluxe	03-039	4	Fleet	Centauri	  	  	  	  	4		Fixed		03-039 F1	Multiple. Can only participate in conflicts targeting you unless you are at war.
Colonial Fleet (Human)	Deluxe	03-040	4	Fleet	Human	  	  	  	  	4		Fixed		03-040 F1	Multiple. Can only participate in conflicts targeting you unless you are at war.
Colonial Fleet (Minbari)	Deluxe	03-041	6	Fleet	Minbari	  	  	  	  	6		Fixed		03-041 F1	Can only participate in conflicts targeting you.
Colonial Fleet (Narn)	Deluxe	03-042	4	Fleet	Narn	  	  	  	  	4		Fixed		03-042 F1	Multiple. Can only participate in conflicts targeting you unless you are at war.
Combat Experience	Deluxe	03-043	  	Aftermath	Military Participant	  	  	  	  	  		Common		03-043 C2	Participant character gains +1 Leadership.
Commerce Raiding	Deluxe	03-044	7	Enhancement	Global	  	  	  	  	  		Uncommon		03-044 U2	All Free Trade states are suspended (they are not in effect), and your faction has +1 influence rating while Commerce Raiding is in play.  Any player may initiate a Military conflict with 10 automatic opposition.  If this conflict is successful, discard this enhancement.
Commercial Telepaths	Deluxe	03-045	6	Group		  	  	  	  	  		Uncommon		03-045 U2	Multiple.  Rotate this group and target a character who is not targeted by Commercial Telepaths.  That character gains a bonus to his Diplomacy equal to half his Psi, rounded up, while this group remains rotated.
Compatible Goals	Deluxe	03-046	  	Conflict	Diplomacy	  	  	  	  	  		Uncommon		03-046 U2	If this conflict succeeds by 5 or more, this card becomes aftermath targeting your ambassador.  Your ambassador may sponsor characters from any race whose ambassador is not in play at 2 less influence cost.
Competing Interests	Deluxe	03-047	5	Event		  	  	  	  	  		Rare 2		03-047 R2	Rotate all of your characters with Vorlon marks.  You cannot play any other cards requiring Vorlon marks this turn.  All players must purge a number of Vorlon marks equal to half the number of Vorlon marks you have (round up).
Complete Support	Deluxe	03-048	  	Conflict	Diplomacy	  	  	  	  	  		Uncommon		03-048 U2	Each character of your race gains +1 Diplomacy while this conflict is being resolved.  If this conflict succeeds by at least five times your unrest, alter one of your tensions to any level you desire.
Concealed Weapon	Deluxe	03-049	3	Enhancement	Character	  	  	  	  	  	Strife	Common		03-049 C2	Weapon. May not be used with any other Weapon enhancement.  Target character gains a Strife Mark.
Concentrated Effort	Deluxe	03-050	5	Event		  	  	  	  	  		Common		03-050 C2	You may initiate a second conflict during next turn's conflict round.  This second conflict must be from a conflict card.
Condemn Deportations	Deluxe	03-051	  	Conflict	Diplomacy	  	  	  	  	  		Common		03-051 C2	Target another race.  If this conflict is successful, the tensions of all races toward the target race increase by 1.  If any race was already at 5 tension toward the target race when this tension increase occurred, each faction of the target race loses 1 influence.
Conflicting Desires	Deluxe	03-052	5	Event		  	  	  	  	  		Rare 2		03-052 R2	Rotate all your characters with Shadow Marks.  You cannot play any other cards requiring Shadow Marks this turn.  All players must purge a number of Shadow Marks equal to half the number of Shadow Marks you have (rounded up).
Conflicting Loyalties	Deluxe	03-053	10	Event		  	  	  	  	  		Rare 2		03-053 R2	Sponsor a limited character someone else has in play.  Both copies of the character become rotated supporting characters.  Whoever applies the most influence to promote the character on the next turn keeps the character, the other discards him (both discard if tied).  You must apply at least the amount you would normally require to promote the character.
Confusion in Chaos	Deluxe	03-054	  	Event		  	  	  	  	  		Common		03-054 C2	Requires 2 Shadow Marks to play.  The action round ends.  Apply any amount of influence when played.  When played, any player may apply more influence than you applied to continue the round.
Consolidated Position	Deluxe	03-055	  	Conflict	Diplomacy	  	  	  	  	  		Rare 2		03-055 R2	Only members of your race may participate in this conflict.  If the conflict is uncontested and support exceeds at least your unrest times 5, this card becomes an aftermath targeting your ambassador.  While in effect, no other player may play aftermath cards targeting your ambassador.
Contact with Shadows	Deluxe	03-056	1	Event		  	  	  	  	  	Shadow	Common		03-056 C2	The Shadows gain 1 influence.  Target character you control gains a Shadow Mark.
Contact with Vorlons	Deluxe	03-057	1	Event		  	  	  	  	  	Vorlon	Common		03-057 C2	The Vorlons gain 1 influence.  Target character you control gains a Vorlon Mark.
Coordinated Fire	Deluxe	03-058	  	Event		  	  	  	  	  		Common		03-058 C2	Rotate two of your fleets who can participate in the same conflict.  Both fleets attack a participant fleet of your choice, but the attacked fleet only damages one of your two fleets (his choice) in return.
Counterintelligence	Deluxe	03-059	8	Group		  	  	  	  	  		Rare 2		03-059 R2	Multiple.  Rotate and target an Intrigue conflict.  Your characters participating in that conflict take half damage, rounded up, when attacked
Court the Rebellious	Deluxe	03-060	  	Conflict	Intrigue	  	  	  	  	  		Common		03-060 C2	If you win the conflict by 5 or more, this conflict becomes a faction enhancement for you which, when you sponsor a character loyal to a race beside your own, reduces the character's cost by his race's unrest.
Covert Allies	Deluxe	03-061	8	Enhancement	Character	  	  	  	  	  		Rare 2		03-061 R2	The target character gains a bonus to his Intrigue equal to half his Diplomacy (excluding any bonus from Power Posturing), rounded up.  This bonus is recalculated each determine initiative step.
Crisis of Self	Deluxe	03-062	  	Aftermath	Lost	  	  	  	  	  		Uncommon		03-062 U2	Cannot target an ambassador. Rotate target participant character if he is ready.  Owner must apply twice the character's influence cost to ready him. Discard this aftermath when this cost is applied.
Crusade	Deluxe	03-063	  	Conflict	Military	  	  	  	  	  		Rare 2		03-063 R2	If successful, Babylon 5 gains +1 influence and this conflict gets returned to your hand.
Cut Supply Lines	Deluxe	03-064	1	Event		  	  	  	  	  		Common		03-064 C2	All players may use Intrigue to support or oppose a target Military conflict.
Cynthia Torqueman	Deluxe	03-065	5	Character	Neutral	1	  	  	  	  		Uncommon		03-065 U2	Media Character.  Rotate Cynthia Torqueman to support or oppose any number of conflicts at the same time. You decide whether she supports or opposes each conflict.
Damage Control Team	Deluxe	03-066	6	Group		  	  	  	  	  		Rare 2		03-066 R2	Multiple.  Rotate and target one of your fleets.  That fleet takes half damage, rounded up, when attacked for the rest of the turn.
Dan Randall	Deluxe	03-067	7	Character	Neutral	1	  	  	  	  		Common		03-067 C2	Media Character. Rotate Dan Randall and apply 3 influence to force another player to apply 4 influence (for no effect).
Declaration of War	Deluxe	03-068	  	Event		  	  	  	  	  		Fixed		03-068 F1	Requires a tension of 5 towards the target race.  Rotate your ambassador.  Your race and the target race are at war.
Deep Space Fleet (Centauri)	Deluxe	03-069	6	Fleet	Centauri	  	  	  	  	5		Fixed		03-069 F1	Multiple.
Deep Space Fleet (Human)	Deluxe	03-070	6	Fleet	Human	  	  	  	  	5		Fixed		03-070 F1	Multiple.
Deep Space Fleet (Minbari)	Deluxe	03-071	7	Fleet	Minbari	  	  	  	  	6		Common		03-071 C2	Multiple.
Deep Space Fleet (Narn)	Deluxe	03-072	5	Fleet	Narn	  	  	  	  	4		Fixed		03-072 F1	Multiple.
Defame Ambassador	Deluxe	03-073	1	Event		  	  	  	  	  		Common		03-073 C2	All of the target ambassador's abilities are halved.  This effect expires at the end of the turn.
Defense in Depth	Deluxe	03-074	  	Agenda		  	  	  	  	  		Uncommon		03-074 U2	All of your fleets gain +2 Military while you are the target of a Military conflict.  All of your locations gain +5 Military.  Your influence rating is increased by 1 for each location of your race you control.
Delenn Transformed	Deluxe	03-075	  	Character	Minbari	7	  	  	4	  	2x Destiny, 2x Vorlon	Rare 2		03-075 R2	Religious Caste.  You may sponsor character from other races at -2 cost.  The Chrysalis event is required to bring Delenn Transformed into play.
Demonstrative Victory	Deluxe	03-076	  	Conflict	Diplomacy	  	  	  	  	  		Rare 2		03-076 R2	Any player may be supported in this conflict.  Any player who generates a total of 10 or more below the highest generated total may not gain more than 1 influence per turn for the rest of the game. If any players suffer this effect, the conflict becomes a global aftermath affecting their factions. This effect is negated for any player if his homeworld is in play.
Despair	Deluxe	03-077	  	Aftermath	Lost	  	  	  	  	  		Rare 2		03-077 R2	Target a player with a Doom mark.  Whenever the player loses a conflict, all of his characters have -1 to each ability on the following turn (minimum 0).
Destiny Fulfilled	Deluxe	03-078	1	Event		  	  	  	  	  		Fixed		03-078 F2	For the rest of the turn, all your ambassador's abilities increase by +1 for each Destiny Mark he has.  For an additional 5 influence, all your other characters gain +1 to each of their abilities for each Destiny Mark they have.  For an additional 5 influence (11 total), this card becomes a permanent enhancement for your ambassador (with the bonus fixed at play).
Develop Relationship	Deluxe	03-079	  	Aftermath	Participant	  	  	  	  	  		Uncommon		03-079 U2	Target another player's supporting character, after that character supports one of your conflicts. That character gains +1 to all his abilities, but if he ever attacks your characters or opposes one of your conflicts, discard him.
Dhaliri	Deluxe	03-080	8	Character	Minbari	6	2	  	  	  		Uncommon		03-080 U2	Grey Council Member.  Religious Caste.  When Dhaliri is neutralized, he suffers 1 additional point of severe damage.
Diplomatic Advantage	Deluxe	03-081	  	Aftermath	Won Diplomacy	  	  	  	  	  		Rare 2		03-081 R2	Play on your ambassador. You must have won the conflict by 10 or more strength.  You may draw 2 free cards instead of 1 during the draw round.
Diplomatic Blunder	Deluxe	03-082	1	Event		  	  	  	  	  		Common		03-082 C2	Target ready character with Diplomacy greater than 1 has his Diplomacy lowered to 1. (Bonuses applied later this turn raise the ability from the new base of 1.)  This effect expires at the end of the turn.
Diplomatic Corps	Deluxe	03-083	8	Group		  	  	  	  	  		Common		03-083 C2	Rotate and target a character. That character gains +2 Diplomacy while this group remains rotated.
Diplomatic Immunity	Deluxe	03-084	1	Event		  	  	  	  	  		Common		03-084 C2	Target player's ambassador and ambassador's assistant cannot be attacked this turn.
Disaffected Centauri	Deluxe	03-085	6	Character	Neutral	2	  	  	  	  		Rare 3		03-085 R3	Multiple.  Each player may only have 1 Disaffected Centauri in play.  While Disaffected Centauri is a member of your Inner Circle, you may sponsor Centauri characters at normal (instead of double) influence cost.  If you use this ability, you cannot apply any other cost reduction.
Disaffected Human	Deluxe	03-086	6	Character	Neutral	2	  	  	  	  		Rare 3		03-086 R3	Multiple.  Each player may only have 1 Disaffected Human in play.  While Disaffected Human is a member of your Inner Circle, you may sponsor Human characters at normal (instead of double) influence cost.  If you use this ability, you cannot apply any other cost reduction.
Disaffected Minbari	Deluxe	03-087	6	Character	Neutral	2	  	  	  	  		Rare 3		03-087 R3	Multiple.  Each player may only have 1 Disaffected Minbari in play.  While Disaffected Minbari is a member of your Inner Circle, you may sponsor Minbari characters at normal (instead of double) influence cost.  If you use this ability, you cannot apply any other cost reduction.
Disaffected Narn	Deluxe	03-088	6	Character	Neutral	2	  	  	  	  		Rare 3		03-088 R3	Multiple.  Each player may only have 1 Disaffected Narn in play.  While Disaffected Narn is a member of your Inner Circle, you may sponsor Narn characters at normal (instead of double) influence cost.  If you use this ability, you cannot apply any other cost reduction.
Disenchantment	Deluxe	03-089	  	Aftermath	Lost	  	  	  	  	  		Uncommon		03-089 U2	Demote target participant Inner Circle character, other than an ambassador, to a supporting character.  The target character does not ready during the next ready round.  (Discard this aftermath after play.)
Disgrace	Deluxe	03-090	  	Aftermath	Lost Military	  	  	  	  	  		Rare 2		03-090 R2	Target a participating supporting character. Fleets led by the character may not support or attack during conflicts initiated by his controller.
Draft	Deluxe	03-091	1	Enhancement	Faction	  	  	  	  	  		Uncommon		03-091 U2	If the target player is at war, his cost to sponsor fleets and any characters with Leadership 2 or higher is reduced by 1.
Drazi Sunhawk	Deluxe	03-092	4	Fleet	Non-Aligned	  	  	  	  	4		Common		03-092 C2	Multiple. Any player may sponsor this fleet at double normal influence cost.  If Drazi Sunhawk becomes damaged, discard it during next draw round.
Du'Nar	Deluxe	03-093	11	Character	Narn	7	4	  	4	  		Uncommon		03-093 U2	Member of the Ka'Rhi.  If Du'Nar is injured but not neutralized, remove 1 damage token from him during each ready round.
Du'Rog	Deluxe	03-094	8	Character	Narn	4	3	  	  	  		Common		03-094 C2	If Du'Rog is discarded from play, you may cause 4 points of damage to any Narn character.
Durlan	Deluxe	03-095	8	Character	Minbari	6	1	  	  	  		Common		03-095 C2	Grey Council Member.  Worker Caste.  Rotate to give a character +1 Leadership for the rest of the turn.
Early Warning	Deluxe	03-096	  	Event		  	  	  	  	  		Fixed		03-096 F2	Rotate a character with 2 or more Vorlon Marks.  Apply the Vorlon's influence as opposition to a target Intrigue conflict.  The Vorlons then gain +1 influence.
Elric	Deluxe	03-097	7	Character	Neutral	4	  	  	  	  		Rare 2		03-097 R2	Techno-mage.  Treat Elric as a Seeress.  Discard Elric if the Shadow War has started.  Discard Elric if you have any Shadow Marks or Vorlon Marks.
Emergency Military Aid	Deluxe	03-098	  	Event		  	  	  	  	  		Common		03-098 C2	For every 2 influence you apply when playing this card, apply 1 Military to support or oppose target conflict.
Emperor Turhan	Deluxe	03-099	11	Character	Centauri	9	3	  	  	  		Rare 2		03-099 R2	Centauri Emperor.  Emperor Turhan cannot become an Inner Circle character.  Rotate to alter any Centauri tension by 1.
Energy Mines	Deluxe	03-100	6	Enhancement	Narn Fleet	  	  	  	  	  		Fixed		03-100 F1	All fleets attacking or being attacked by the target fleet suffer 1 point of damage before the attack is resolved.
Enrage	Deluxe	03-101	  	Aftermath	Lost Diplomacy	  	  	  	  	  		Uncommon		03-101 U2	Target ambassador must apply 1 influence each turn at the beginning of the action round, or his Diplomacy ability for the turn is 0.
Establish Base	Deluxe	03-102	  	Conflict	Military	  	  	  	  	  		Uncommon		03-102 U2	If any fleet attacks occur this conflict, Babylon 5 loses 2 influence.  If successful, this conflict becomes a faction enhancement for you. While in play, your fleets gain +1 Military, and gain additional +1 Military while you are the target of a Military conflict.
Exploit Opportunities	Deluxe	03-103	  	Aftermath	Won Intrigue	  	  	  	  	  		Fixed		03-103 F1	Target ambassador gains +1 Intrigue and +1 Diplomacy.
Exploitation	Deluxe	03-104	8	Enhancement	Location	  	  	  	  	  		Common		03-104 C2	Target another race's location you control.  Treat target location as if you had originally sponsored it (you gain all benefits of the location's effect text).
Extended Contacts	Deluxe	03-105	8	Group		  	  	  	  	  		Common		03-105 C2	Rotate and target a character.  That character gains +2 Intrigue while this group remains rotated.
Extreme Sanction	Deluxe	03-106	  	Conflict	Diplomacy	  	  	  	  	  	Doom	Uncommon		03-106 U2	Your ambassador gains a Doom Mark.  Target a supporting character of another faction.  If successful, apply influence equal to the target character's cost.  Remove the character from play.  (If limited, no copy of that character can reenter play.)
Finish the War	Deluxe	03-107	  	Agenda	Minbari	  	  	  	  	  		Fixed		03-107 F2	Once per turn you may lose 1 influence to raise your tension toward the Humans by 1.  If your tension toward the Humans is at 5, you may declare war conflicts against human factions and they may declare war conflicts against you.
First Battle Fleet (Centauri)	Deluxe	03-108	8	Fleet	Centauri	  	  	  	  	7		Fixed		03-108 F1	
First Battle Fleet (Human)	Deluxe	03-109	8	Fleet	Human	  	  	  	  	7		Fixed		03-109 F1	
First Battle Fleet (Minbari)	Deluxe	03-110	10	Fleet	Minbari	  	  	  	  	9		Fixed		03-110 F1	
First Battle Fleet (Narn)	Deluxe	03-111	9	Fleet	Narn	  	  	  	  	8		Fixed		03-111 F1	
Fixed in Their Ways	Deluxe	03-112	4	Enhancement	Faction	  	  	  	  	  	Vorlon	Uncommon		03-112 U2	Requires 1 Vorlon Mark to play. Target yourself.  Each turn in which you must discard a fleet to a card which required Shadow Marks to bring into play, your ambassador gains 1 Vorlon Mark.  Your ambassador gains 1 Vorlon Mark when you sponsor this enhancement.
Fleet Support Base	Deluxe	03-113	8	Enhancement	Location	  	  	  	  	  		Fixed		03-113 F1	Target one of your locations.  Rotate this enhancement to repair up to 4 total points of damage from any combination of fleets you control.
Fleet of the Line	Deluxe	03-114	10	Fleet	Human	  	  	  	  	8		Rare 2		03-114 R2	This fleet gains +4 Military while participating in a Military conflict that targets you.
Fleets on the Border	Deluxe	03-115	1	Event		  	  	  	  	  		Common		03-115 C2	All players may use their Military to support or oppose a target Diplomacy conflict.
Focus Your Efforts	Deluxe	03-116	  	Aftermath	Won	  	  	  	  	  		Uncommon		03-116 U2	Target one of your participant characters. Reduce one of his abilities (of 2 or more) by 2, and raise another of his abilities by 2.
For My People	Deluxe	03-117	  	Event		  	  	  	  	  	Destiny	Common		03-117 C2	Rotate and neutralize your ambassador.  Your ambassador gains a Destiny Mark.
For the Common Good	Deluxe	03-118	  	Event		  	  	  	  	  		Common		03-118 C2	Rotate your ambassador and lose 1 influence. Babylon 5 gains 2 influence.
For the Good of All	Deluxe	03-119	  	Event		  	  	  	  	  		Fixed		03-119 F1	For each of your characters or fleets that is neutralized this turn, and for each Destiny Mark you have, you gain +2 influence to use on the next turn only.  This influence does not count toward power.
Forced Commitment	Deluxe	03-120	1	Enhancement	Faction	  	  	  	  	  		Rare 2		03-120 R2	Target yourself.  Any war conflict initiated against you must be supported by at least two fleets or the initiator automatically loses the conflict.  Apply 5 influence during the draw round, or discard this enhancement.
Forced Evolution	Deluxe	03-121	  	Agenda	Major	  	  	  	  	  		Rare 2		03-121 R2	Requires 5 Shadow marks. Count the Shadow's influence minus the Vorlon's influence as power. You may transfer 1 influence per turn to the Shadows. Rotate agenda and apply target fleet's influence cost to neutralize 1 fleet with Military less than Shadow influence; purge 1 Shadow Mark from your faction.
Forced Impairment	Deluxe	03-122	  	Conflict	Intrigue	  	  	  	  	  		Rare 3		03-122 R3	Target one card.  If successful, this conflict becomes an enhancement on the target card.  While enhanced by this card, treat the card as if its effect text were blank.
Forces Collide	Deluxe	03-123	  	Event		  	  	  	  	  		Rare 3		03-123 R3	Requires 3 Shadow Marks to play.  Target one enhancement.  Apply influence equal to the cost of the enhancement, plus 1 per Vorlon Mark required to play the card.  Discard the enhancement.
Frederick Lantz	Deluxe	03-124	9	Character	Human	7	  	  	  	  		Fixed		03-124 F2	If there are any conflicts in play which can raise tension that Frederick Lantz can oppose, Frederick Lantz must oppose one.  You cannot pass until he has done so.
Free the Souls	Deluxe	03-125	  	Conflict	Intrigue	  	  	  	  	  	Destiny	Rare 2		03-125 R2	If this conflict is successful, discard every Soul Hunter in play.  If you win by 5 or more, your ambassador gains a Destiny Mark and this card becomes aftermath. While it is in play no player may sponsor a Soul Hunter.
G'Drog	Deluxe	03-126	6	Character	Narn	2	  	  	3	  		Common		03-126 C2	Any ready fleet led by  G'Drog can take damage in place of any Narn fleet being attacked.  G'Drog's fleet is then rotated.
G'Sten	Deluxe	03-127	12	Character	Narn	8	  	  	5	  		Rare 2		03-127 R2	Narn Warleader.  Member of the Kha'Ri.  While ready, you may cause a Narn fleet that is attacked to suffer only half damage.  If this effect is applied rotate G'Sten.
Garrison Fleet	Deluxe	03-128	4	Fleet	Centauri	  	  	  	  	4		Uncommon		03-128 U2	Multiple. Can only participate in conflicts targeting you.
General Franklin	Deluxe	03-129	8	Character	Human	3	  	  	3	  		Uncommon		03-129 U2	General Franklin gains +5 Leadership while leading a fleet that is supporting a Military conflict that targets a location.
General Hague	Deluxe	03-130	10	Character	Human	3	3	  	3	  		Fixed		03-130 F2	Rotate General Hague as an action to add a construction token to this card.  Each time you sponsor a fleet, remove all construction tokens from General Hague.  Each token removed reduces the cost for your to sponsor that fleet by 2 (to a minimum cost of 0).
Glory	Deluxe	03-131	  	Aftermath	Won Diplomacy or Military	  	  	  	  	  	Destiny	Rare 2		03-131 R2	Target ambassador gains a Destiny Mark.
Government Opposition	Deluxe	03-132	6	Group		  	  	  	  	  		Rare 2		03-132 R2	Choose a race for this group to affect when its first played.  Rotate and apply influence equal to the cost of a target group of that race.  Treat that group as if it had no effect text for the rest of the turn.
Grey Council Fleet	Deluxe	03-133	13	Fleet	Minbari	  	  	  	  	13		Rare 2		03-133 R2	You may only initiate Military conflicts that target a player with whom you are at war.  This fleet may be promoted to your Inner Circle. If this fleet is then neutralized, treat it as an Inner Circle character until unneutralized and is not discarded.  (The fleet is not otherwise treated as an Inner Circle character.)
Grievance	Deluxe	03-134	  	Aftermath	Won	  	  	  	  	  		Uncommon		03-134 U2	Target the winner of the conflict.  Hold a Babylon 5 vote.  If the vote passes, target loses 1 influence, while you and Babylon 5 gain 1 influence.  If the vote fails, you lose 1 influence.  (Discard this aftermath after play.)
Growth in Chaos	Deluxe	03-135	  	Agenda	Centauri	  	  	  	  	  	Shadow	Common		03-135 C2	Your ambassador gains a Shadow Mark. The cost for you to play cards requiring Shadow Marks is reduced by 1 for each Shadow Mark you have.  You may rotate this agenda to give a character +1 Leadership per Shadow Mark you have for the rest of the turn.  Count each 2 Shadow Marks you have as 1 power.
Guilt	Deluxe	03-136	  	Aftermath	Won Military Participant	  	  	  	  	  		Uncommon		03-136 U2	Target a character who led a fleet that made an attack during the conflict. Any fleets the character leads may not attack.
